@relation 'german_credit-weka.filters.unsupervised.attribute.Remove-R4,7-8,10-20'

@attribute checking_status {<0,0<=X<200,>=200,'no checking'}
@attribute duration numeric
@attribute credit_history {'no credits/all paid','all paid','existing paid','delayed previously','critical/other existing credit'}
@attribute credit_amount numeric
@attribute savings_status {<100,100<=X<500,500<=X<1000,>=1000,'no known savings'}
@attribute personal_status {'male div/sep','female div/dep/mar','male single','male mar/wid','female single'}
@attribute class {good,bad}

@data
'no checking',15,'delayed previously',3594,<100,'female div/dep/mar',good
0<=X<200,9,'existing paid',3195,'no known savings','female div/dep/mar',good
'no checking',36,'delayed previously',4454,<100,'female div/dep/mar',good
0<=X<200,24,'critical/other existing credit',4736,<100,'female div/dep/mar',bad
0<=X<200,30,'existing paid',2991,'no known savings','female div/dep/mar',good
'no checking',11,'existing paid',2142,>=1000,'male div/sep',good
<0,24,'all paid',3161,<100,'male single',bad
0<=X<200,48,'no credits/all paid',18424,<100,'female div/dep/mar',bad
'no checking',10,'existing paid',2848,100<=X<500,'male single',good
<0,6,'existing paid',14896,<100,'male single',bad
<0,24,'existing paid',2359,100<=X<500,'male div/sep',bad
<0,24,'existing paid',3345,<100,'male single',bad
'no checking',18,'critical/other existing credit',1817,<100,'female div/dep/mar',good
'no checking',48,'delayed previously',12749,500<=X<1000,'male single',good
<0,9,'existing paid',1366,<100,'female div/dep/mar',bad
0<=X<200,12,'existing paid',2002,<100,'male single',good
<0,24,'all paid',6872,<100,'male div/sep',bad
<0,12,'all paid',697,<100,'male single',bad
<0,18,'critical/other existing credit',1049,<100,'female div/dep/mar',good
<0,48,'existing paid',10297,<100,'male single',bad
'no checking',30,'existing paid',1867,'no known savings','male single',good
<0,12,'delayed previously',1344,<100,'male single',good
<0,24,'existing paid',1747,<100,'male single',good
0<=X<200,9,'existing paid',1670,<100,'female div/dep/mar',bad
'no checking',9,'critical/other existing credit',1224,<100,'male single',good
'no checking',12,'critical/other existing credit',522,500<=X<1000,'male single',good
<0,12,'existing paid',1498,<100,'female div/dep/mar',good
0<=X<200,30,'delayed previously',1919,100<=X<500,'male single',bad
>=200,9,'existing paid',745,<100,'female div/dep/mar',bad
0<=X<200,6,'existing paid',2063,<100,'male mar/wid',good
0<=X<200,60,'existing paid',6288,<100,'male single',bad
'no checking',24,'critical/other existing credit',6842,'no known savings','male single',good
'no checking',12,'existing paid',3527,'no known savings','male single',good
'no checking',10,'existing paid',1546,<100,'male single',good
'no checking',24,'existing paid',929,'no known savings','male single',good
'no checking',4,'critical/other existing credit',1455,<100,'male single',good
<0,15,'existing paid',1845,<100,'female div/dep/mar',good
0<=X<200,48,'no credits/all paid',8358,500<=X<1000,'female div/dep/mar',good
<0,24,'all paid',3349,500<=X<1000,'male single',bad
'no checking',12,'existing paid',2859,'no known savings','male single',good
'no checking',18,'existing paid',1533,<100,'male mar/wid',bad
'no checking',24,'existing paid',3621,100<=X<500,'male single',bad
0<=X<200,18,'critical/other existing credit',3590,<100,'male mar/wid',good
<0,36,'delayed previously',2145,<100,'male single',bad
0<=X<200,24,'existing paid',4113,500<=X<1000,'female div/dep/mar',bad
'no checking',36,'existing paid',10974,<100,'female div/dep/mar',bad
<0,12,'existing paid',1893,<100,'female div/dep/mar',good
<0,24,'critical/other existing credit',1231,>=1000,'female div/dep/mar',good
>=200,30,'critical/other existing credit',3656,'no known savings','male single',good
0<=X<200,9,'critical/other existing credit',1154,<100,'male single',good
<0,28,'existing paid',4006,<100,'male single',bad
0<=X<200,24,'existing paid',3069,100<=X<500,'male single',good
'no checking',6,'critical/other existing credit',1740,<100,'male mar/wid',good
0<=X<200,21,'delayed previously',2353,<100,'male div/sep',good
'no checking',15,'existing paid',3556,'no known savings','male single',good
'no checking',24,'existing paid',2397,500<=X<1000,'male single',bad
0<=X<200,6,'existing paid',454,<100,'male mar/wid',good
0<=X<200,30,'existing paid',1715,'no known savings','female div/dep/mar',good
0<=X<200,27,'critical/other existing credit',2520,500<=X<1000,'male single',bad
'no checking',15,'existing paid',3568,<100,'female div/dep/mar',good
'no checking',42,'existing paid',7166,'no known savings','male mar/wid',good
<0,11,'critical/other existing credit',3939,<100,'male single',good
0<=X<200,15,'existing paid',1514,100<=X<500,'male single',good
'no checking',24,'existing paid',7393,<100,'male single',good
<0,24,'all paid',1193,<100,'female div/dep/mar',bad
<0,60,'existing paid',7297,<100,'male single',bad
'no checking',30,'critical/other existing credit',2831,<100,'female div/dep/mar',good
>=200,24,'existing paid',1258,500<=X<1000,'female div/dep/mar',good
0<=X<200,6,'existing paid',753,<100,'female div/dep/mar',good
0<=X<200,18,'delayed previously',2427,'no known savings','male single',good
'no checking',24,'delayed previously',2538,<100,'male single',bad
0<=X<200,15,'all paid',1264,100<=X<500,'male mar/wid',bad
0<=X<200,30,'critical/other existing credit',8386,<100,'male single',bad
'no checking',48,'existing paid',4844,<100,'male single',bad
>=200,21,'existing paid',2923,100<=X<500,'female div/dep/mar',good
<0,36,'existing paid',8229,<100,'male single',bad
'no checking',24,'critical/other existing credit',2028,<100,'male single',good
<0,15,'critical/other existing credit',1433,<100,'female div/dep/mar',good
>=200,42,'no credits/all paid',6289,<100,'male div/sep',good
'no checking',13,'existing paid',1409,100<=X<500,'female div/dep/mar',good
<0,24,'existing paid',6579,<100,'male single',good
0<=X<200,24,'critical/other existing credit',1743,<100,'male single',good
'no checking',12,'critical/other existing credit',3565,'no known savings','male single',good
'no checking',15,'all paid',1569,100<=X<500,'male single',good
<0,18,'existing paid',1936,'no known savings','male mar/wid',good
<0,36,'existing paid',3959,<100,'male single',good
'no checking',12,'existing paid',2390,'no known savings','male single',good
'no checking',12,'existing paid',1736,<100,'female div/dep/mar',good
<0,30,'existing paid',3857,<100,'male div/sep',good
'no checking',12,'existing paid',804,<100,'male single',good
<0,45,'existing paid',1845,<100,'male single',bad
0<=X<200,45,'critical/other existing credit',4576,100<=X<500,'male single',good
